Repository,Component Type,Ecosystem,Name,Version,Dependency Scope,Relationship,License,PURL or Reference,Metadata Source,Notes
Regensburg_DigitalerEnergieZwilling_AirflowDAGs,application,first-party,Regensburg_DigitalerEnergieZwilling_AirflowDAGs,unversioned,runtime/build,root component,LGPL-3.0-or-later,pkg:generic/Regensburg_DigitalerEnergieZwilling_AirflowDAGs@unversioned,Regensburg_DigitalerEnergieZwilling_AirflowDAGs/sbom.config.json,First-party repository component.
Regensburg_DigitalerEnergieZwilling_AirflowDAGs,container,OCI container,amazon/aws-cli,latest (not digest pinned),development,referenced local development software,NOASSERTION,oci:amazon/aws-cli:latest,Regensburg_DigitalerEnergieZwilling_AirflowDAGs/docker-compose.yaml,Optional local S3 initialization image; packages inside the image are not expanded.
Regensburg_DigitalerEnergieZwilling_AirflowDAGs,container,OCI container,ghcr.io/csi-foxbyte/citygml-tools-docker,latest (not digest pinned),runtime/build,referenced pipeline runtime software,NOASSERTION,oci:ghcr.io/csi-foxbyte/citygml-tools-docker:latest,Regensburg_DigitalerEnergieZwilling_AirflowDAGs/dags/pipeline/config.py,CityGML conversion image; packages inside the image are not expanded.
Regensburg_DigitalerEnergieZwilling_AirflowDAGs,container,OCI container,ghcr.io/csi-foxbyte/cityjson-to-3d-tiles,0.0.24@sha256:39ab45799580d32d73ff58bc421df585b77e3b8fd5ec8e9dd8a9cf940b68e038,runtime/build,referenced pipeline runtime software,NOASSERTION,oci:ghcr.io/csi-foxbyte/cityjson-to-3d-tiles:0.0.24@sha256:39ab45799580d32d73ff58bc421df585b77e3b8fd5ec8e9dd8a9cf940b68e038,Regensburg_DigitalerEnergieZwilling_AirflowDAGs/dags/pipeline/config.py,CityJSON to 3D Tiles image; packages inside the image are not expanded.
Regensburg_DigitalerEnergieZwilling_AirflowDAGs,container,OCI container,ghcr.io/csi-foxbyte/regensburg_digitalerenergiezwilling_offlineenrichment,0.8.0@sha256:b2faf575e02f071e43a44189c187df0e6aa0bb1779a2e48297e1eb41e9ec483a,runtime/build,referenced pipeline runtime software,LGPL-3.0-or-later,oci:ghcr.io/csi-foxbyte/regensburg_digitalerenergiezwilling_offlineenrichment:0.8.0@sha256:b2faf575e02f071e43a44189c187df0e6aa0bb1779a2e48297e1eb41e9ec483a,Regensburg_DigitalerEnergieZwilling_AirflowDAGs/dags/pipeline/config.py,Offline enrichment image; packages inside the image are documented by that repository's own SBOM and are not expanded here.
Regensburg_DigitalerEnergieZwilling_AirflowDAGs,container,OCI container,ghcr.io/osgeo/gdal,alpine-small-3.13.2@sha256:9f453a4c7af9862cce78831d7cb587f8e7b98ff4dbbc177d6b6e213e20260e0e,runtime/build,referenced pipeline runtime software,NOASSERTION,oci:ghcr.io/osgeo/gdal:alpine-small-3.13.2@sha256:9f453a4c7af9862cce78831d7cb587f8e7b98ff4dbbc177d6b6e213e20260e0e,Regensburg_DigitalerEnergieZwilling_AirflowDAGs/dags/pipeline/config.py,GDAL terrain-processing image; packages inside the image are not expanded.
Regensburg_DigitalerEnergieZwilling_AirflowDAGs,container,OCI container,ghcr.io/tum-gis/ctb-quantized-mesh,latest@sha256:31053c0cee60fe2f6651812786b2861e1dda03b25a88f2fa6325a4a9e266ad98,runtime/build,referenced pipeline runtime software,NOASSERTION,oci:ghcr.io/tum-gis/ctb-quantized-mesh:latest@sha256:31053c0cee60fe2f6651812786b2861e1dda03b25a88f2fa6325a4a9e266ad98,Regensburg_DigitalerEnergieZwilling_AirflowDAGs/dags/pipeline/config.py,Quantized Mesh terrain image pinned by digest; packages inside the image are not expanded.
Regensburg_DigitalerEnergieZwilling_AirflowDAGs,container,OCI container,localstack/localstack,latest (not digest pinned),development,referenced local development software,NOASSERTION,oci:localstack/localstack:latest,Regensburg_DigitalerEnergieZwilling_AirflowDAGs/docker-compose.yaml,Optional local S3 service image; packages inside the image are not expanded.
Regensburg_DigitalerEnergieZwilling_AirflowDAGs,container,OCI container,python,3.12-slim (not digest pinned),runtime/build,referenced S3 GUI build/runtime software,PSF-2.0; container includes additional licenses,oci:python:3.12-slim,Regensburg_DigitalerEnergieZwilling_AirflowDAGs/s3-gui/Dockerfile,S3 GUI base image; packages inside the image are not expanded.
Regensburg_DigitalerEnergieZwilling_AirflowDAGs,library,PyPI requirement,boto3,">=1.34,<2 (not pinned)",runtime/build,declared S3 GUI runtime dependency,NOASSERTION,requirement:pypi:boto3@%3E%3D1.34%2C%3C2,Regensburg_DigitalerEnergieZwilling_AirflowDAGs/s3-gui/requirements.txt,Version range installed independently while building the S3 GUI image; transitive packages are not resolved by this source SBOM.
